"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Timeouts","dev","Mon May 12 14:52:17 GMT-04:00 2025","skipped","Mon May 12 14:52:17 GMT-04:00 2025","","autoWaiting.spec.ts","",""
"","835","Assertions","dev","Mon May 12 14:52:48 GMT-04:00 2025","passed","Mon May 12 14:52:49 GMT-04:00 2025","","firstTest.spec.ts","",""
"","1030","Input Fields","dev","Mon May 12 14:52:52 GMT-04:00 2025","passed","Mon May 12 14:52:53 GMT-04:00 2025","Form Layouts Page @block","uiComponents.spec.ts","",""
"","1718","Parametrized method @smoke","dev","Mon May 12 14:53:13 GMT-04:00 2025","passed","Mon May 12 14:53:15 GMT-04:00 2025","","usePageObjects.spec.ts","",""
"","942","Extracting values","dev","Mon May 12 14:52:47 GMT-04:00 2025","passed","Mon May 12 14:52:48 GMT-04:00 2025","","firstTest.spec.ts","",""
"","1803","Locator syntax rules","dev","Mon May 12 14:52:41 GMT-04:00 2025","passed","Mon May 12 14:52:42 GMT-04:00 2025","","firstTest.spec.ts","",""
"","3833","Web tables","dev","Mon May 12 14:53:05 GMT-04:00 2025","passed","Mon May 12 14:53:09 GMT-04:00 2025","","uiComponents.spec.ts","",""
"","1361","Input Fields","dev","Mon May 12 14:52:49 GMT-04:00 2025","passed","Mon May 12 14:52:50 GMT-04:00 2025","","testMobile.spec.ts","",""
"","1","Alternatives waits","dev","Mon May 12 14:52:17 GMT-04:00 2025","skipped","Mon May 12 14:52:17 GMT-04:00 2025","","autoWaiting.spec.ts","",""
"","993","Locating child elements","dev","Mon May 12 14:52:44 GMT-04:00 2025","passed","Mon May 12 14:52:45 GMT-04:00 2025","","firstTest.spec.ts","",""
"","1149","Locating parents elements","dev","Mon May 12 14:52:45 GMT-04:00 2025","passed","Mon May 12 14:52:46 GMT-04:00 2025","","firstTest.spec.ts","",""
"","1158","Datepicker","dev","Mon May 12 14:53:09 GMT-04:00 2025","passed","Mon May 12 14:53:10 GMT-04:00 2025","","uiComponents.spec.ts","",""
"","1950","Lists and Dropdowns","dev","Mon May 12 14:53:01 GMT-04:00 2025","passed","Mon May 12 14:53:03 GMT-04:00 2025","","uiComponents.spec.ts","",""
"","928","Reusing locators","dev","Mon May 12 14:52:46 GMT-04:00 2025","passed","Mon May 12 14:52:47 GMT-04:00 2025","","firstTest.spec.ts","",""
"","1684","Navigate to Form Page @smoke @regression","dev","Mon May 12 14:53:11 GMT-04:00 2025","passed","Mon May 12 14:53:13 GMT-04:00 2025","","usePageObjects.spec.ts","",""
"","19021","Auto waiting","dev","Mon May 12 14:51:58 GMT-04:00 2025","passed","Mon May 12 14:52:17 GMT-04:00 2025","","autoWaiting.spec.ts","",""
"","1278","Tooltips","dev","Mon May 12 14:53:03 GMT-04:00 2025","passed","Mon May 12 14:53:04 GMT-04:00 2025","","uiComponents.spec.ts","",""
"","945","Radio buttons","dev","Mon May 12 14:52:53 GMT-04:00 2025","passed","Mon May 12 14:52:54 GMT-04:00 2025","Form Layouts Page @block","uiComponents.spec.ts","",""
"","1003","Dialog box","dev","Mon May 12 14:53:04 GMT-04:00 2025","passed","Mon May 12 14:53:05 GMT-04:00 2025","","uiComponents.spec.ts","",""
"","1118","Parametrized method","dev","Mon May 12 14:52:50 GMT-04:00 2025","passed","Mon May 12 14:52:52 GMT-04:00 2025","","testWithFixtures.spec.ts","",""
"","23298","Drag and drops with iFrames","dev","Mon May 12 14:52:17 GMT-04:00 2025","passed","Mon May 12 14:52:41 GMT-04:00 2025","","dragAndDropWithIframes.spec.ts","",""
"","7055","Checkboxes","dev","Mon May 12 14:52:54 GMT-04:00 2025","passed","Mon May 12 14:53:01 GMT-04:00 2025","","uiComponents.spec.ts","",""
"","1580","User facing locators","dev","Mon May 12 14:52:42 GMT-04:00 2025","passed","Mon May 12 14:52:44 GMT-04:00 2025","","firstTest.spec.ts","",""
"","1316","Sliders","dev","Mon May 12 14:53:10 GMT-04:00 2025","passed","Mon May 12 14:53:11 GMT-04:00 2025","","uiComponents.spec.ts","",""
